feature,importance
receiver_account_age,0.6151033
receiver_transaction_history,0.17847611
unusual_ip_flag,0.07899446
description_word_count,0.044494674
unusual_location_flag,0.019661494
handle_registration_pattern_recent,0.01543387
unusual_transaction_amount_flag,0.013399886
time_pressure_indicators,0.009866198
business_name_match_present,0.008917662
merchant_category_code_unknown,0.006397674
request_frequency,0.0026112997
handle_to_description_consistency,0.0022959462
merchant_category_code_services,0.0014055317
amount,0.0010363463
input_timing_consistency,0.00085697835
background_data_usage,0.0003657312
pin_entry_speed,0.0003525941
keyboard_input_speed,0.00020861284
input_pause_patterns,5.631935e-05
transaction_time_of_day,3.3292265e-05
session_duration,3.207412e-05
unusual_device_flag,0.0
geographic_disparity,0.0
authentication_attempts,0.0
time_between_link_click_and_transaction,0.0
transaction_amount_vs_sender_history,0.0
app_switching_frequency,0.0
transaction_velocity,0.0
otp_request_device_consistency,0.0
otp_request_frequency,0.0
time_between_otp_generation_and_input,0.0
authentication_attempt_count,0.0
dns_lookup_age,0.0
screen_active_time,0.0
geographic_location_vs_ip,0.0
handle_similarity_score,0.0
requester_account_age,0.0
time_to_respond_to_request,0.0
handle_transaction_history,0.0
merchant_category_code_retail,0.0
request_acceptance_rate,0.0
request_amount_roundness,0.0
failed_transaction_count,0.0
session_source_link,0.0
merchant_category_code_utilities,0.0
merchant_category_code_food,0.0
recent_app_installs,0.0
authorization_method_pin,0.0
permissions_granted,0.0
recognized_screen_sharing_apps,0.0
pin_entry_method_pasted,0.0
handle_typo_analysis_typo_squatting,0.0
request_description_keywords,0.0
transaction_type_payment,0.0
transaction_minute,0.0
description_length,0.0
transaction_second,0.0
latitude,0.0
longitude,0.0
