feature,correlation,absolute_correlation,unique_values
unusual_transaction_amount_flag,0.7939887016236845,0.7939887016236845,2
merchant_category_code_unknown,0.7724028642790094,0.7724028642790094,2
time_pressure_indicators,0.5868444080792804,0.5868444080792804,6
handle_registration_pattern_recent,0.5626949540858177,0.5626949540858177,2
receiver_transaction_history,-0.5413145323706482,0.5413145323706482,101
otp_request_device_consistency,-0.5362980275846954,0.5362980275846954,2
unusual_device_flag,0.5362980275846952,0.5362980275846952,2
unusual_ip_flag,0.5284331370645683,0.5284331370645683,2
unusual_location_flag,0.5284331370645683,0.5284331370645683,2
pin_entry_method_pasted,0.5237866849404486,0.5237866849404486,2
authentication_attempt_count,0.5186012747227836,0.5186012747227836,5
description_word_count,-0.503286214474324,0.503286214474324,6
amount,0.4771877348121551,0.4771877348121551,26393
input_timing_consistency,-0.4655393912575295,0.4655393912575295,26392
authentication_attempts,0.4383203931640702,0.4383203931640702,5
receiver_account_age,-0.4249787609023922,0.4249787609023922,703
input_pause_patterns,0.3984842629143412,0.3984842629143412,26391
session_source_link,0.3767573279164748,0.3767573279164748,2
handle_typo_analysis_typo_squatting,0.37418759153541375,0.37418759153541375,2
handle_to_description_consistency,0.37418759153541375,0.37418759153541375,2
business_name_match_present,0.37418759153541375,0.37418759153541375,2
background_data_usage,0.3736642937944285,0.3736642937944285,26392
authorization_method_pin,-0.37056343294564603,0.37056343294564603,2
request_description_keywords,-0.37030335938735476,0.37030335938735476,2
transaction_type_payment,-0.37030335938735476,0.37030335938735476,2
request_frequency,0.3614641872244755,0.3614641872244755,7
recognized_screen_sharing_apps,-0.3597633645932184,0.3597633645932184,2
recent_app_installs,-0.3597633645932184,0.3597633645932184,2
permissions_granted,-0.3597633645932184,0.3597633645932184,2
request_acceptance_rate,0.3565384859383629,0.3565384859383629,733
otp_request_frequency,0.3564633654226649,0.3564633654226649,4
transaction_velocity,0.35295024463525065,0.35295024463525065,5
keyboard_input_speed,-0.3491772449200455,0.3491772449200455,26393
time_between_otp_generation_and_input,0.34678071494558166,0.34678071494558166,17
time_between_link_click_and_transaction,0.34422481287358553,0.34422481287358553,27
failed_transaction_count,0.3425912679993013,0.3425912679993013,4
time_to_respond_to_request,0.3395713420075398,0.3395713420075398,27
dns_lookup_age,0.3131959827515696,0.3131959827515696,8
handle_transaction_history,0.31117344884018416,0.31117344884018416,6
requester_account_age,0.30970835536057406,0.30970835536057406,8
app_switching_frequency,0.296941248539468,0.296941248539468,15
pin_entry_speed,-0.2752628228852005,0.2752628228852005,26393
handle_similarity_score,0.24027163673862187,0.24027163673862187,5
request_amount_roundness,0.20900043392463524,0.20900043392463524,25673
transaction_amount_vs_sender_history,0.19588146720353936,0.19588146720353936,26393
merchant_category_code_food,-0.173140928501193,0.173140928501193,2
merchant_category_code_utilities,-0.16168876943432164,0.16168876943432164,2
transaction_time_of_day,-0.14184267369202194,0.14184267369202194,24
session_duration,-0.08466312010310185,0.08466312010310185,520
description_length,-0.07320966065784748,0.07320966065784748,68
merchant_category_code_retail,-0.07095494066475791,0.07095494066475791,2
merchant_category_code_services,-0.06082029823576139,0.06082029823576139,2
screen_active_time,-0.0516720079007802,0.0516720079007802,753
transaction_minute,-0.014356242290573305,0.014356242290573305,60
geographic_disparity,0.010029364325847905,0.010029364325847905,26367
latitude,0.003338014320819067,0.003338014320819067,15230
longitude,-0.002749686362377377,0.002749686362377377,15230
transaction_second,0.0016576710181011763,0.0016576710181011763,60
geographic_location_vs_ip,0.0014892399661059674,0.0014892399661059674,26367
