feature,unique_values,purity,perfect_separation
amount,26393,1.0,True
transaction_amount_vs_sender_history,26393,1.0,True
geographic_disparity,26367,1.0,True
keyboard_input_speed,26393,1.0,True
input_pause_patterns,26391,1.0,True
background_data_usage,26392,1.0,True
pin_entry_speed,26393,1.0,True
geographic_location_vs_ip,26367,1.0,True
input_timing_consistency,26392,1.0,True
latitude,15230,1.0,True
longitude,15230,1.0,True
request_amount_roundness,25673,0.9959080059106581,False
receiver_account_age,703,0.9886333497518281,False
unusual_transaction_amount_flag,2,0.9437350812715493,False
merchant_category_code_unknown,2,0.9382033114841056,False
description_word_count,6,0.9288068806122836,False
description_length,68,0.9188421172280529,False
time_pressure_indicators,6,0.9155078998219225,False
receiver_transaction_history,101,0.8979653696055773,False
authentication_attempt_count,5,0.8919410449740461,False
handle_registration_pattern_recent,2,0.8895919372560906,False
otp_request_device_consistency,2,0.8842496116394498,False
unusual_device_flag,2,0.8842496116394498,False
unusual_ip_flag,2,0.8826961694388664,False
unusual_location_flag,2,0.8826961694388664,False
pin_entry_method_pasted,2,0.8817868374190126,False
session_duration,520,0.8729208502254385,False
authentication_attempts,5,0.8727692948887963,False
app_switching_frequency,15,0.8612889781381426,False
time_between_link_click_and_transaction,27,0.85647709619975,False
session_source_link,2,0.85647709619975,False
handle_to_description_consistency,2,0.8560982078581442,False
business_name_match_present,2,0.8560982078581442,False
handle_typo_analysis_typo_squatting,2,0.8560982078581442,False
screen_active_time,753,0.8557950971848596,False
otp_request_frequency,4,0.8555677641798962,False
failed_transaction_count,4,0.8555677641798962,False
time_between_otp_generation_and_input,17,0.8555677641798962,False
transaction_velocity,5,0.8555677641798962,False
authorization_method_pin,2,0.8555677641798962,False
transaction_type_payment,2,0.8555298753457357,False
request_frequency,7,0.8555298753457357,False
request_acceptance_rate,733,0.8555298753457357,False
request_description_keywords,2,0.8555298753457357,False
time_to_respond_to_request,27,0.8555298753457357,False
permissions_granted,2,0.8540143219793127,False
recent_app_installs,2,0.8540143219793127,False
recognized_screen_sharing_apps,2,0.8540143219793127,False
dns_lookup_age,8,0.8528397681203349,False
handle_transaction_history,6,0.8518925472663206,False
requester_account_age,8,0.8518925472663206,False
handle_similarity_score,5,0.8403743416815065,False
transaction_time_of_day,24,0.8277952487401963,False
merchant_category_code_food,2,0.8277952487401963,False
merchant_category_code_retail,2,0.8277952487401963,False
merchant_category_code_utilities,2,0.8277952487401963,False
merchant_category_code_services,2,0.8277952487401963,False
transaction_second,60,0.8277952487401963,False
transaction_minute,60,0.8277952487401963,False
